id,name,x,y
0,Node 1,466,-23
1,Node 2,270,-235
2,Node 3,461,-165
3,Node 4,499,3
4,Node 5,-366,212
5,Node 6,41,133
6,Node 7,326,-78
7,Node 8,-486,-203
8,Node 9,8,94
9,Node 10,-383,-205
10,Node 11,-389,62
11,Node 12,379,39
12,Node 13,353,7
13,Node 14,88,42
14,Node 15,-303,197
15,Node 16,-480,151
16,Node 17,489,-136
17,Node 18,-247,-143
18,Node 19,478,39
19,Node 20,-164,-138
20,Node 21,-115,63
21,Node 22,-221,-174
22,Node 23,-216,7
23,Node 24,444,-95
24,Node 25,433,190
25,Node 26,244,52
26,Node 27,251,212
27,Node 28,-65,2
28,Node 29,-234,124
29,Node 30,337,101
30,Node 31,-430,-190
31,Node 32,51,63
32,Node 33,-373,-100
33,Node 34,-126,-1
34,Node 35,487,125
35,Node 36,223,-203
36,Node 37,179,238
37,Node 38,-414,-82
38,Node 39,493,85
39,Node 40,383,129
40,Node 41,-105,-171
41,Node 42,-337,3
42,Node 43,292,61
43,Node 44,-431,203
44,Node 45,-74,176
45,Node 46,-221,-105
46,Node 47,-184,99
47,Node 48,401,-236
48,Node 49,2,12
49,Node 50,-156,186
50,Node 51,-266,223
51,Node 52,42,-181
52,Node 53,-451,-140
53,Node 54,80,1
54,Node 55,406,82
55,Node 56,62,-118
56,Node 57,-99,-230
57,Node 58,-68,-152
58,Node 59,442,-216
59,Node 60,287,-16
60,Node 61,-272,90
61,Node 62,337,-126
62,Node 63,-468,-41
63,Node 64,-441,68
64,Node 65,187,37
65,Node 66,109,-158
66,Node 67,146,-139
67,Node 68,-63,-57
68,Node 69,135,90
69,Node 70,-500,-243
70,Node 71,-164,-22
71,Node 72,203,178
72,Node 73,30,215
73,Node 74,-359,-156
74,Node 75,-160,-188
75,Node 76,365,-182
76,Node 77,-320,-247
77,Node 78,-415,18
78,Node 79,25,-87
79,Node 80,-103,234
80,Node 81,440,250
81,Node 82,-50,-211
82,Node 83,-303,135
83,Node 84,109,-57
84,Node 85,-348,134
85,Node 86,-24,120
86,Node 87,-248,-61
87,Node 88,-203,215
88,Node 89,-443,242
89,Node 90,-287,-47
90,Node 91,-254,43
91,Node 92,-276,-207
92,Node 93,133,177
93,Node 94,321,-213
94,Node 95,-14,-62
95,Node 96,-231,82
96,Node 97,-116,-91
97,Node 98,188,-171
98,Node 99,-25,225
99,Node 100,-156,-87
