source,destination,road
0,46,9185951299270
0,874,8111645326971
0,560,374074424768
0,1038,5798800152903
0,368,7155661738695
0,699,8531574420641
0,776,1563009102010
0,1008,6890209503029
1,119,3053458022669
1,711,3212718105457
1,1092,2584737991581
1,828,1356924667516
1,412,4194004598362
1,850,6851376548388
1,92,2811427965323
1,582,3935405787509
2,328,2031645743490
2,655,799916337582
2,171,2320249002101
2,872,6987216168916
2,907,5864631696199
2,355,9801608942844
2,260,2951532402674
2,90,6051339099145
3,40,3159385787626
3,462,6301102426929
3,303,805894334587
3,959,2441870487377
3,1098,2877551209942
3,192,3552827685783
3,949,7066339054698
3,565,1680963887560
4,538,7775418984445
4,227,3945219341152
4,964,9314838486285
4,364,8173180109483
4,7,8906036319388
4,207,6794550289457
4,666,4152192055011
4,749,5731495485028
5,487,7949304731574
5,1059,9148706138693
5,323,9688145584130
5,208,4605345949778
5,510,1546784406923
5,312,4285600597239
5,463,6959973221810
5,363,7627485294438
6,971,137920649943
6,263,9744144437389
6,737,7534904215588
6,1061,4771506116171
6,428,1710328805030
6,706,9576792198403
6,277,6314052037985
6,87,8723681891331
7,188,6533675930020
7,538,2235435838133
7,746,6038321414469
7,161,4165322063241
7,557,2194805105521
7,466,4458330628397
8,805,5899212708450
8,68,5718758589581
8,810,1746054825259
8,136,2133147295714
8,1086,8647175880497
8,482,648156884281
8,922,48803220194
8,962,7576557166299
9,543,4259318392344
9,546,6280519773431
9,609,963343910162
9,458,3613499707175
9,518,2630565324456
9,19,590691616720
9,700,2840069865043
9,330,7612896192126
10,410,8372272512359
10,740,1538109826647
10,553,5057142676901
10,778,6001113852709
10,264,3361596877015
10,849,6128797936668
10,1013,3056340694976
10,504,7895805048679
11,117,5714278277835
11,436,6125912970940
11,310,8461635228353
11,348,4630582081843
11,665,9601319630682
11,461,4329830964719
11,41,7682118504470
11,579,8704178695346
12,429,3655882551217
12,33,7199096029969
12,363,832015938061
12,301,9712457056079
12,202,6720638652725
12,510,8508028294672
12,208,4334892658856
12,1039,2003983391037
13,79,9297100819276
13,586,2412667426794
13,758,2252855508990
13,215,9261502706228
13,710,3029243127993
13,472,6086186379803
13,539,6925188202832
13,451,5915721171211
14,961,8678483498965
14,851,6722245143294
14,36,8052301561352
14,523,8975951952314
14,1048,1482172897074
14,572,6092104680252
14,501,3001416917207
14,82,1458108133913
15,670,7180187289069
15,953,921292287646
15,450,3256705478672
15,1038,987989790211
15,928,8977868553717
15,874,7759457494103
15,942,1268520164224
15,55,7345649201739
16,895,4396379000739
16,58,1246546495289
16,642,8186302402472
16,470,4083404177565
16,331,6378977971923
16,792,6013727998792
16,346,3584945412085
16,833,7797554948059
17,780,5863543901892
17,1087,1539921059805
17,286,2443114844024
17,791,2138227815103
17,830,8831167115273
17,22,7770162657103
17,537,1689732654836
17,69,5799637248261
18,445,1833702866398
18,1062,1771066969320
18,790,8634102079859
18,762,9489086362014
18,816,6916850312344
18,111,8341673508347
18,736,4852109506223
18,480,2163704198115
19,546,8215394725264
19,700,7943146666696
19,1025,4802135834945
19,1072,2740110557381
20,870,2363176328912
20,567,7713936008391
20,936,7050946525811
20,382,8645423796649
20,786,7018033628435
20,449,3357910946636
20,854,330565932272
20,716,4836543912295
21,31,7526081727034
21,997,7417851200204
21,222,5523054173826
21,180,565555295845
21,999,6724715069714
21,724,7063522464011
21,140,5590608656905
21,330,3447585348737
22,148,4854891886651
22,830,90946938597
22,608,9784143482031
23,853,1862882393254
23,67,8595098612230
23,630,8835938761508
23,917,8880535776042
23,975,8247928294647
23,745,2487261675197
23,726,4346542501508
23,344,340776772179
24,32,2412566817738
24,1095,6463302209660
24,241,9795977578362
24,413,8140960131730
24,423,8445633538498
24,1032,9453379885941
24,99,4512085125298
24,492,1062114052812
25,240,802428723279
25,299,5086453322731
25,948,182624166322
25,520,4965139562265
25,244,3559522193683
25,490,2172931984087
25,534,403709966394
25,351,8264524469702
26,702,9249480829607
