id,name,x,y
0,Node 1,83,125
1,Node 2,208,-223
2,Node 3,-478,-141
3,Node 4,345,149
4,Node 5,141,-276
5,Node 6,-403,-34
6,Node 7,-317,-262
7,Node 8,112,-295
8,Node 9,297,-154
9,Node 10,165,208
10,Node 11,401,251
11,Node 12,22,-164
12,Node 13,-384,12
13,Node 14,493,-7
14,Node 15,-258,65
15,Node 16,66,80
16,Node 17,18,286
17,Node 18,20,-3
18,Node 19,344,-100
19,Node 20,198,178
20,Node 21,220,39
21,Node 22,135,276
22,Node 23,-3,-8
23,Node 24,243,184
24,Node 25,-486,190
25,Node 26,364,-286
26,Node 27,-251,202
27,Node 28,474,96
28,Node 29,491,170
29,Node 30,23,197
30,Node 31,-350,53
31,Node 32,125,290
32,Node 33,-483,212
33,Node 34,-398,21
34,Node 35,-497,-190
35,Node 36,151,-92
36,Node 37,-245,40
37,Node 38,358,62
38,Node 39,-170,82
39,Node 40,387,118
40,Node 41,350,142
41,Node 42,25,-132
42,Node 43,-482,261
43,Node 44,-528,57
44,Node 45,546,-217
45,Node 46,25,180
46,Node 47,98,113
47,Node 48,434,95
48,Node 49,-265,209
49,Node 50,241,280
50,Node 51,416,-3
51,Node 52,-263,-245
52,Node 53,-387,84
53,Node 54,-523,-162
54,Node 55,-422,-223
55,Node 56,51,48
56,Node 57,-438,129
57,Node 58,456,-257
58,Node 59,46,265
59,Node 60,-515,274
60,Node 61,-422,-206
61,Node 62,-66,-275
62,Node 63,-453,-241
63,Node 64,226,-265
64,Node 65,-401,185
65,Node 66,-386,-200
66,Node 67,-333,-198
67,Node 68,264,189
68,Node 69,291,-165
69,Node 70,45,13
70,Node 71,-369,251
71,Node 72,-31,-99
72,Node 73,274,-203
73,Node 74,464,184
74,Node 75,233,-169
75,Node 76,-119,-109
76,Node 77,-376,-190
77,Node 78,72,203
78,Node 79,-415,80
79,Node 80,499,-7
80,Node 81,306,68
81,Node 82,-288,13
82,Node 83,-221,48
83,Node 84,-490,292
84,Node 85,-473,33
85,Node 86,-27,-182
86,Node 87,101,-156
87,Node 88,-350,-267
88,Node 89,481,109
89,Node 90,440,-25
90,Node 91,-439,-166
91,Node 92,-112,-111
92,Node 93,240,-225
93,Node 94,-397,221
94,Node 95,-442,-36
95,Node 96,-118,246
96,Node 97,-70,-193
97,Node 98,-358,252
98,Node 99,-253,175
99,Node 100,-495,150
100,Node 101,39,-276
101,Node 102,-523,-23
102,Node 103,-354,-59
103,Node 104,-435,242
104,Node 105,404,125
105,Node 106,373,63
106,Node 107,45,118
107,Node 108,479,-239
108,Node 109,-303,184
109,Node 110,168,-80
110,Node 111,459,248
111,Node 112,347,-76
112,Node 113,-435,-194
113,Node 114,291,-267
114,Node 115,-132,-242
115,Node 116,-520,264
116,Node 117,-120,-255
117,Node 118,19,-174
118,Node 119,-194,-11
119,Node 120,201,-238
120,Node 121,-297,-108
121,Node 122,-329,201
122,Node 123,111,-187
123,Node 124,61,156
124,Node 125,-61,22
125,Node 126,-102,94
126,Node 127,384,99
127,Node 128,-171,-1
128,Node 129,-539,24
129,Node 130,-223,-18
130,Node 131,-139,-164
131,Node 132,-248,-171
132,Node 133,310,282
133,Node 134,-502,-71
134,Node 135,-360,281
135,Node 136,357,4
136,Node 137,319,-160
137,Node 138,442,6
138,Node 139,-520,-260
139,Node 140,-404,-88
140,Node 141,92,255
141,Node 142,19,113
142,Node 143,-163,-298
143,Node 144,-442,166
144,Node 145,-140,-200
145,Node 146,494,104
146,Node 147,-164,42
147,Node 148,-296,-85
148,Node 149,-11,-2
149,Node 150,-526,-10
150,Node 151,-548,225
151,Node 152,-303,111
152,Node 153,-6,107
153,Node 154,-165,-98
154,Node 155,-109,273
155,Node 156,1,66
156,Node 157,-447,57
157,Node 158,380,-176
158,Node 159,507,197
159,Node 160,367,194
160,Node 161,530,-98
161,Node 162,74,-300
162,Node 163,-541,59
163,Node 164,203,-125
164,Node 165,-31,190
165,Node 166,-529,125
166,Node 167,257,-48
167,Node 168,-180,-41
168,Node 169,-160,-239
169,Node 170,-517,83
170,Node 171,-102,293
171,Node 172,-483,-126
172,Node 173,-57,-170
173,Node 174,-63,70
174,Node 175,465,171
175,Node 176,473,-74
176,Node 177,313,86
177,Node 178,483,243
178,Node 179,207,-150
179,Node 180,-283,-267
180,Node 181,121,295
181,Node 182,295,39
182,Node 183,167,-168
183,Node 184,-363,111
184,Node 185,133,-87
185,Node 186,495,85
186,Node 187,-241,1
187,Node 188,-463,-245
188,Node 189,84,-282
189,Node 190,-159,99
190,Node 191,466,154
191,Node 192,550,-10
192,Node 193,370,144
193,Node 194,34,107
194,Node 195,-191,209
195,Node 196,454,197
196,Node 197,214,297
197,Node 198,269,283
198,Node 199,401,156
199,Node 200,-272,261
200,Node 201,-317,-6
201,Node 202,435,-238
202,Node 203,-366,-2
203,Node 204,-231,224
204,Node 205,-411,62
205,Node 206,-199,-217
206,Node 207,167,-106
207,Node 208,123,-239
208,Node 209,-389,-16
209,Node 210,-514,-201
210,Node 211,-286,226
211,Node 212,-376,70
212,Node 213,206,-19
213,Node 214,-98,-196
214,Node 215,-174,-124
215,Node 216,507,18
216,Node 217,287,-285
217,Node 218,-53,-129
218,Node 219,-382,162
219,Node 220,-80,-7
220,Node 221,-315,-35
221,Node 222,-137,233
222,Node 223,147,295
223,Node 224,277,203
224,Node 225,483,117
225,Node 226,449,288
226,Node 227,249,-8
227,Node 228,154,-267
228,Node 229,-14,-125
229,Node 230,-211,222
230,Node 231,-36,240
231,Node 232,46,-232
232,Node 233,450,-273
233,Node 234,103,78
234,Node 235,-292,198
235,Node 236,308,41
236,Node 237,-197,-71
237,Node 238,526,-145
238,Node 239,389,-20
239,Node 240,5,192
240,Node 241,362,-292
241,Node 242,-458,197
242,Node 243,-208,-117
243,Node 244,-289,155
244,Node 245,406,-282
245,Node 246,-116,-240
246,Node 247,494,-116
247,Node 248,531,269
248,Node 249,-199,-205
249,Node 250,336,-208
250,Node 251,-478,-297
251,Node 252,-424,195
252,Node 253,170,98
253,Node 254,441,-225
254,Node 255,469,-230
255,Node 256,-30,-30
256,Node 257,-153,286
257,Node 258,-252,211
258,Node 259,-497,-77
259,Node 260,-360,-109
260,Node 261,-517,-152
261,Node 262,262,-280
262,Node 263,-69,23
263,Node 264,-334,-253
264,Node 265,388,233
265,Node 266,294,262
266,Node 267,2,59
267,Node 268,-479,5
268,Node 269,-248,-209
269,Node 270,-78,-73
270,Node 271,-351,122
